register, noun, General, B1
register, verb, General, B1
registration, noun, General, B1
regret, verb, General, A2
regular, adjective, General, A2
regularly, adverb, General, A2
regulation, noun, General, B1
reject, verb, General, B1
relate, verb, General, B1
relation, noun, General, B1
relationship, noun, General, B1
relative, adjective, General, B1
relative, noun, General, B1
relatively, adverb, General, B1
relax, verb, General, A2
relaxed, adjective, General, A2
relaxing, adjective, General, B1
release, noun, General, A2
release, verb, General, B1
reliable, adjective, General, B1
religion, noun, General, B1
religious, adjective, General, B1
rely, verb, General, B1
remain, verb, General, A2
remainder, noun, General, B1
remark, verb, General, B1
remarkable, adjective, General, B1
remedy, noun, General, B1
remember, verb, General, A1
remembrance, noun, General, B1
remind, verb, General, A2
remote, adjective, General, A2
remote control, noun, General, B1
remove, verb, General, B1
renew, verb, General, B1
rent, noun, General, A2
rent, verb, General, A2
repair, noun, General, A2
repair, verb, General, A2
repay, verb, General, B1
repeat, verb, food, A1
repeatedly, adverb, food, B1
replace, verb, General, A2
reply, noun, General, A2
reply, verb, General, B1
report, noun, General, A2
report, verb, General, B1
reporter, noun, General, A1
represent, verb, General, A2
representative, noun, General, B1
reproduce, verb, General, B1
republic, noun, General, B1
reputation, noun, General, B1
request, noun, General, A2
request, verb, General, B1
require, verb, General, B1
requirement, noun, General, B1
rescue, noun, General, B1
rescue, verb, General, B1
research, noun, General, A2
researcher, noun, General, B1
resemble, verb, General, B1
reservation, noun, General, B1
reserve, noun, General, B1
reserve, verb, General, B1
resident, adjective, General, B1
residential, adjective, General, B1
resist, verb, General, B1
resolve, verb, General, B1
resort, noun, General, B1
resource, noun, General, B1
respect, noun, General, B1
respect, verb, General, B1
respectable, adjective, General, B1
respond, verb, General, B1
response, noun, General, A2
responsibility, noun, General, B1
responsible, adjective, General, B1
rest, noun, General, B1
rest, verb, General, B1
restaurant, noun, food, A1
restore, verb, General, B1
restrict, verb, General, B1
result, noun, General, A1
result, verb, General, B1
retail, noun, General, B1
retain, verb, General, B1
retell, verb, General, B1
retire, verb, General, A2
retired, adjective, General, A2
retrospect, noun, General, B1
return, noun, General, A2
return, verb, General, A2
reunification, noun, animals, B1
reunify, verb, General, B1
reunion, noun, General, A2
reveal, verb, General, A2
review, noun, General, A1
revise, verb, General, B1
revision, noun, General, B1
reward, noun, General, B1
rewrite, verb, General, B1
rhythm, noun, General, A2
ribbon, noun, General, A1
rice, noun, General, A1
rich, adjective, General, A1
rid, verb, General, B1
riddle, verb, General, B1
ride, noun, General, A1
ride, verb, General, A1
ridiculous, adjective, General, B1
right, adjective, General, A1
right, adverb, General, A1
right, noun, General, A2
right-hand, adjective, General, A2
ring, noun, General, A2
ring, verb, General, A1
ripe, adjective, General, B1
rise, noun, General, B1
rise, verb, General, B1
risk, noun, General, B1
river, noun, General, A1
road, noun, General, A2
roadside, noun, General, B1
roast, verb, General, A2
rob, verb, General, A2
robbery, noun, General, A2
robin, noun, General, A2
robot, noun, General, B1
rock, noun, General, A2
role, noun, General, A1
roll, noun, General, A2
rolling, adjective, General, B1
romance, noun, General, A2
romantic, adjective, General, A2
roof, noun, General, A2
room, noun, General, A1
room, verb, General, B1
root, noun, General, A2
rope, noun, General, A2
rose, noun, General, A1
rotten, adjective, General, B1
rough, adjective, General, B1
roughly, adverb, General, A2
round, adjective, General, B1
round, adverb, General, A2
round, noun, General, B1
roundabout, noun, General, A2
routine, noun, General, B1
row, noun, General, A1
royal, adjective, General, A2
rubber, noun, General, B1
rubbish, noun, General, B1
rude, adjective, General, A1
rudely, adverb, General, B1
rugby, noun, General, A2
ruin, noun, General, B1
ruin, verb, General, A2
rule, noun, General, A1
ruler, noun, General, A1
rumor/rumour, noun, General, A2
run, noun, sports, A1
run, verb, sports, A1
runaway, noun, sports, B1
runner, noun, sports, A2
running, noun, sports, A2
runway, noun, sports, B1
rush, noun, General, A2
rush, verb, General, B1
's, be-verb, General, A1
sacred, adjective, General, B1
sad, adjective, General, A1
sadly, adverb, General, A2
sadness, noun, General, B1
safari, noun, General, B1
safe, adjective, General, A2
safeguard, noun, General, B1
safely, adverb, General, B1
safety, noun, General, B1
sailing, noun, General, A2
sailor, noun, General, A1
sake, noun, General, A2
salad, noun, General, A1
sale, noun, General, A1
salesman, noun, General, B1
salmon, noun, General, B1
salt, noun, General, A2
same, adjective, General, A1
same, adverb, General, A1
same, pronoun, General, A1
sample, noun, General, A2
sand, noun, General, B1
sandal, noun, General, B1
sandwich, noun, General, A1
sandy, adjective, General, A2
satellite, noun, General, B1
satisfaction, noun, General, B1
satisfied, adjective, General, B1
satisfy, verb, General, A2
Saturday, noun, General, A1
sauce, noun, General, A2
saucepan, noun, General, B1
saucer, noun, General, B1
sausage, noun, General, A2
save, verb, General, A1
saw, noun, General, A1
say, verb, General, A1
scale, noun, General, A2
scan, noun, General, B1
scare, verb, travel, B1
scared, adjective, travel, B1
scarf, noun, travel, A2
scary, adjective, travel, B1
scatter, verb, animals, B1
scene, noun, General, A2
scenery, noun, General, A2
scenic, adjective, General, B1
schedule, noun, General, A2
scholar, noun, General, B1
scholarship, noun, General, B1
school, noun, General, A1
schoolchild, noun, General, A2
schoolmate, noun, General, B1
schoolteacher, noun, work, B1
schoolwork, noun, General, A2
science, noun, General, A1
science fiction, noun, General, B1
scientific, adjective, General, A2
scientist, noun, General, A1
scissors, noun, General, A2
scold, verb, General, B1
scope, noun, General, B1
score, noun, General, B1
score, verb, General, B1
scratch, noun, General, B1
scream, noun, General, A2
scream, verb, General, B1
screen, noun, General, A2
screw, noun, General, A2
script, noun, General, A2
sculpture, noun, General, B1
sea, noun, General, A1
seafood, noun, General, A2
search, noun, General, A2
search, verb, General, B1
seaside, noun, General, A2
season, noun, General, B1
seat, noun, food, A1
seawater, noun, food, B1
seaweed, noun, General, B1
second, adjective, General, A1
second, adverb, General, B1
second, noun, General, A2
second, pronoun, General, A2
secondary school, noun, General, B1
second-hand, adjective, General, B1
second-hand, adverb, General, B1
secret, adjective, General, B1
secret, noun, General, A2
secretary, noun, General, A2
secretly, adverb, General, B1
section, noun, General, A1
secure, adjective, General, B1
security, noun, General, B1
see, verb, General, A1
seed, noun, General, A2
seek, verb, General, A2
seem, verb, General, A2
seize, verb, General, B1
select, adjective, General, B1
selection, noun, General, B1
self, noun, General, A1
selfish, adjective, animals, B1
self-service, adjective, General, B1
sell, verb, General, A1
semester, noun, General, A2
send, verb, General, A2
senior, adjective, General, A2
senior, noun, General, A2
sensation, noun, General, B1
sense, noun, General, A2
sentence, noun, General, A1
separate, adjective, General, A2
separation, noun, General, B1
September, noun, General, A1
sequence, noun, General, B1
series, noun, General, B1
serious, adjective, General, B1
seriously, adverb, General, A2
serve, verb, General, A2
server, noun, General, B1
service, noun, General, B1
service, verb, General, B1
session, noun, General, B1
set, noun, General, A2
set, verb, General, A1
setting, noun, General, B1
settle, verb, General, B1
settlement, noun, General, B1
settler, noun, General, B1
seven, number, General, A1
seventeen, number, General, A1
seventy, number, General, A1
several, determiner, General, A2
several, pronoun, General, A2
severe, adjective, General, B1
severely, adverb, General, B1
sew, verb, General, A2
sex, noun, General, B1
shade, noun, General, A2
shadow, noun, General, A2
shadow, verb, General, B1
shadowy, adjective, General, B1
shake, noun, General, A1
shake, verb, General, B1
shall, modal auxiliary, General, A2
shallow, adjective, General, B1
shame, noun, General, B1
shameful, adjective, General, B1
shampoo, noun, General, A2
shape, noun, General, A2
shape, verb, General, B1
share, noun, General, A2
share, verb, General, A1
sharp, adjective, General, B1
shave, verb, General, B1
she, pronoun, General, A1
sheep, noun, animals, A1
sheer, adjective, General, B1
sheet, noun, General, B1
shelf, noun, General, A1
shell, noun, General, A2
shelter, noun, General, B1
sheriff, noun, General, B1
shift, verb, General, B1
shine, verb, General, A2
shiny, adjective, General, B1
ship, noun, General, A1
ship, verb, General, B1
shirt, noun, clothes, A1
shiver, verb, General, B1
shock, noun, General, A2
shocked, adjective, General, B1
shocking, adjective, General, B1
shoe, noun, clothes, A1
shoot, verb, General, A2
shop, noun, General, A1
shop, verb, General, B1
shop assistant, noun, General, A2
shopper, noun, General, B1
shopping, noun, General, A1
shore, noun, General, A2
short, adjective, General, A1
short, adverb, General, A1
short/shorts, noun, General, A2
shortage, noun, General, B1
shortly, adverb, General, B1
shot, noun, General, A2
should, modal auxiliary, General, A1
shoulder, noun, General, A1
shout, noun, General, A2
shout, verb, General, B1
show, noun, General, A2
show, verb, General, A1
shower, noun, General, A1
shrimp, noun, General, B1
shut, adjective, General, B1
shut, verb, General, A2
shy, adjective, General, A1
sick, adjective, health, A1
sickness, noun, health, B1
side, noun, General, A1
sidewalk, noun, General, B1
sigh, noun, General, B1
sight, noun, General, A1
sightseeing, noun, General, A2
sign, noun, General, A1
sign, verb, General, B1
signal, noun, General, B1
signature, noun, General, B1
significance, noun, General, B1
significant, adjective, General, A2
signpost, noun, General, B1
silence, noun, General, A2
silent, adjective, General, B1
silently, adverb, General, A2
silk, noun, General, B1
silly, adjective, General, A2
silver, adjective, General, A2
silver, noun, General, A2
similar, adjective, General, A2
similarity, noun, General, B1
similarly, adverb, General, B1
simple, adjective, General, A2
simplify, verb, General, B1
simply, adverb, General, A2
