museum, noun, General, A2
mushroom, noun, General, A2
music, noun, General, A1
musical, adjective, General, A2
musician, noun, General, A1
must, modal auxiliary, General, A1
mustard, noun, General, B1
mutual, adjective, General, B1
my, determiner, General, A1
myself, pronoun, General, A2
mysterious, adjective, General, A2
mystery, noun, General, A2
myth, noun, General, B1
nail, noun, General, B1
naked, adjective, General, B1
name, noun, General, A1
name, verb, General, B1
nap, noun, General, B1
napkin, noun, General, A2
narrate, verb, General, B1
narrative, adjective, General, B1
narrow, adjective, General, B1
nasty, adjective, General, B1
nation, noun, General, A2
national, adjective, General, A2
nationalist, noun, General, B1
nationality, noun, General, A1
native, adjective, General, A2
natural, adjective, General, A2
naturally, adverb, General, B1
nature, noun, General, A2
navy blue, adjective, General, B1
near, adjective, General, B1
near, adverb, General, B1
near, preposition, General, A1
nearby, adjective, General, B1
nearby, adverb, General, B1
nearly, adverb, General, A2
necessary, adjective, General, A2
neck, noun, General, A1
necklace, noun, General, B1
nectar, noun, General, B1
need, modal auxiliary, General, A1
need, verb, General, A2
needle, noun, General, B1
negative, adjective, General, A2
negotiate, verb, General, B1
negotiation, noun, General, B1
neighbor/neighbour, noun, General, A1
neighborhood/neighbourhood, noun, General, B1
nephew, noun, General, B1
nervous, adjective, General, A2
nervousness, noun, General, B1
ness, noun, General, B1
net, adjective, General, A2
net, noun, General, B1
network, noun, General, B1
neutral, adjective, General, B1
never, adverb, General, A1
nevertheless, adverb, General, B1
new, adjective, General, A1
newborn, adjective, General, B1
newcomer, noun, General, B1
newly, adverb, General, B1
news, noun, General, A1
newspaper, noun, General, A1
next, adverb, General, A2
next, determiner, General, A2
next door, adverb, General, B1
next to, preposition, General, A2
next-door, adjective, General, B1
nice, adjective, General, A1
nickname, noun, General, B1
niece, noun, General, B1
night, noun, General, A1
nightlife, noun, General, B1
nine, number, General, A1
nineteen, number, General, A1
ninety, number, General, A1
no, adverb, General, A1
no, determiner, General, A1
no one, pronoun, General, A2
nobody, pronoun, health, A2
nod, noun, General, B1
noise, noun, General, A1
noisily, adverb, General, B1
noisy, adjective, General, A2
none, pronoun, General, B1
nonetheless, adverb, General, B1
nonsense, noun, General, B1
noon, noun, General, A2
nor, conjunction, General, B1
normal, adjective, General, A2
normally, adverb, General, B1
north, adjective, General, A2
north, adverb, General, A2
north, noun, General, A2
northeast, adjective, General, B1
northeast, noun, General, B1
northeastern, adjective, General, B1
northern, adjective, General, B1
northwest, adjective, General, B1
northwest, noun, General, B1
northwestern, adjective, General, B1
nose, noun, General, A1
not, adverb, General, A1
note, noun, General, A1
note, verb, General, A1
notebook, noun, General, A1
nothing, pronoun, General, A1
notice, noun, General, A2
notice, verb, General, B1
noticeable, adjective, General, B1
noticeboard, noun, General, B1
notion, noun, General, B1
notorious, adjective, General, B1
noun, noun, General, A2
novel, noun, General, A2
novelist, noun, General, B1
November, noun, General, A1
now, adverb, General, A1
nowadays, adverb, General, A2
nowhere, adverb, General, B1
nuclear, adjective, General, B1
nucleus, noun, General, B1
number, noun, General, A1
numerous, adjective, General, B1
nurse, noun, health, A1
nurse, verb, health, B1
nutrient, noun, General, B1
nutrition, noun, General, B1
nutritious, adjective, General, B1
oak, noun, General, A2
object, noun, General, B1
objection, noun, General, B1
objective, noun, General, B1
observation, noun, General, B1
observe, verb, General, B1
obstacle, noun, General, B1
