example, noun, General, A1
excellence, noun, General, B1
excellent, adjective, General, A1
except, conjunction, General, A2
except, preposition, General, A2
excess, noun, General, B1
exchange, noun, General, A2
exchange, verb, General, B1
exchange rate, noun, General, B1
excited, adjective, General, A1
excitedly, adverb, General, B1
excitement, noun, General, B1
exciting, adjective, General, A1
exclusive, adjective, General, B1
excuse, noun, General, A1
excuse, verb, General, B1
exercise, noun, health, A2
exercise, verb, health, A1
exhausted, adjective, General, B1
exhibition, noun, General, A2
exist, verb, General, A2
existence, noun, General, B1
exit, noun, General, B1
exit, verb, General, B1
expand, verb, General, B1
expect, verb, General, A2
expense, noun, General, B1
expensive, adjective, General, A1
experience, noun, General, A2
experience, verb, General, B1
experienced, adjective, General, B1
experiment, noun, General, B1
expert, noun, General, A2
explain, verb, General, A2
explanation, noun, General, A2
exploration, noun, General, B1
explore, verb, General, A2
explosion, noun, General, B1
expose, verb, General, B1
express, noun, General, A2
express, verb, General, B1
expression, noun, General, A2
extend, verb, General, B1
extensively, adverb, General, B1
extent, noun, General, B1
extinct, adjective, General, B1
extinction, noun, General, B1
extra, adjective, General, A2
extra, adverb, General, A2
extra, noun, General, B1
extraordinary, adjective, General, B1
extreme, adjective, General, B1
extreme sports, noun, sports, B1
extremely, adverb, General, A2
eye, noun, General, A1
eyesight, noun, General, B1
face, noun, General, A1
face, verb, General, A2
face to face, adverb, General, B1
face-to-face, adjective, General, B1
facility, noun, General, B1
fact, noun, General, A2
factory, noun, work, A1
fade, verb, General, B1
fail, verb, General, A2
failure, noun, General, B1
faint, adjective, General, B1
fair, adjective, General, A1
fair, noun, General, B1
fairly, adverb, General, A2
fairy, noun, General, A1
faithful, adjective, General, B1
fake, adjective, General, B1
fall, noun, General, B1
fall, verb, General, A2
fallen, adjective, General, B1
false, adjective, General, A1
familiar, adjective, General, A2
family, noun, General, A1
famous, adjective, General, A1
fan, noun, General, A1
fancy, adjective, General, A2
fancy, noun, General, B1
fancy, verb, General, B1
fantastic, adjective, General, A2
fantasy, noun, General, B1
far, adverb, General, A2
faraway, adjective, General, B1
fare, noun, General, A2
farewell, noun, General, B1
farm, noun, General, A1
farmer, noun, General, A1
farming, noun, General, B1
farmland, noun, General, B1
farther, adverb, General, B1
farthest, adverb, General, B1
fascinate, verb, General, B1
fascinating, adjective, General, A2
fashion, noun, General, A2
fashionable, adjective, General, B1
fast, adjective, General, A1
fast, adverb, General, A1
fast food, noun, General, A2
fasten, verb, General, B1
fat, adjective, General, A1
father, noun, General, A1
fault, noun, General, A2
favor/favour, noun, General, A2
favorable/favourable, adjective, General, B1
favorite/favourite, adjective, General, A1
favorite/favourite, noun, General, A1
fax, noun, General, B1
fax, verb, General, B1
fear, noun, General, A2
feast, noun, General, B1
feather, noun, food, A2
feature, noun, food, A2
February, noun, General, A1
fee, noun, General, A2
feed, noun, General, A1
feed, verb, General, B1
feel, noun, General, A2
feel, verb, General, A1
feeling, noun, General, A1
fellow, noun, General, B1
female, adjective, General, A2
fence, noun, General, A2
ferry, noun, General, B1
festival, noun, General, A1
festive, adjective, General, B1
fetch, verb, General, B1
fever, noun, General, A1
feverishly, adverb, General, B1
few, determiner, General, A2
few, pronoun, General, B1
fiction, noun, General, A2
field, noun, General, A1
fifteen, number, General, A1
fifth, noun, General, B1
fifty, number, General, A1
fight, noun, General, A1
fight, verb, General, B1
fighter, noun, General, A2
figure, noun, General, A2
figure, verb, General, A2
file, noun, General, A1
fill, verb, General, A1
filling, noun, General, B1
film, noun, General, A2
film, verb, General, B1
film-maker, noun, General, B1
filter, noun, General, B1
final, adjective, General, A2
final, noun, General, A2
finally, adverb, General, A2
finance, verb, General, B1
financial, adjective, General, B1
find, verb, General, A1
finding, noun, General, B1
fine, adjective, General, A1
fine, noun, General, B1
finger, noun, General, B1
finish, noun, General, A1
finish, verb, General, A1
fire, noun, General, A1
fire station, noun, travel, B1
firefighter, noun, General, B1
firework, noun, General, B1
firm, adjective, General, B1
firm, noun, General, B1
firmly, adverb, General, B1
first, adjective, General, A1
first, adverb, General, A1
first floor, noun, General, B1
first lady, noun, General, B1
first name, noun, General, A2
first-floor, adjective, General, B1
fish, noun, animals, A1
fish, verb, animals, B1
fisherman, noun, animals, A2
fishing, noun, animals, A1
fit, adjective, General, A2
fit, verb, General, B1
fitness, noun, General, B1
five, number, General, A1
fix, noun, General, A2
fix, verb, General, B1
flag, noun, General, A1
flash, adjective, General, B1
flat, adjective, General, B1
flat, noun, General, A1
flavor/flavour, noun, General, B1
flea, noun, General, A2
flight, noun, travel, A2
float, noun, General, A2
float, verb, General, B1
flock, noun, General, B1
flood, noun, General, A2
flood, verb, General, B1
floor, noun, General, A1
flour, noun, General, A2
flow, noun, General, B1
flow, verb, General, B1
flower, noun, General, A1
flu, noun, General, B1
fluent, adjective, General, B1
fluently, adverb, General, B1
flunk, verb, General, B1
flute, noun, General, B1
fly, noun, General, A1
fly, verb, General, A1
focus, verb, General, A1
fog, noun, General, A2
foggy, adjective, General, A1
fold, noun, General, B1
fold, verb, General, B1
folder, noun, General, A2
folk, noun, General, B1
follow, verb, General, A2
following, adjective, sports, A1
fond, adjective, General, B1
fondness, noun, General, B1
food, noun, General, A1
fool, noun, General, A2
fool, verb, General, B1
foolish, adjective, General, B1
foot, noun, General, B1
football, noun, sports, A1
footballer, noun, sports, A2
for, conjunction, General, A2
for, preposition, General, A1
forbid, verb, General, A2
forbidden, adjective, General, B1
force, noun, General, A2
forecast, noun, General, B1
forehead, noun, General, B1
foreign, adjective, General, A1
foreigner, noun, General, A1
forest, noun, General, A2
forever, adverb, General, A2
forget, verb, General, A1
forgive, verb, General, B1
fork, noun, General, A2
form, noun, General, A1
form, verb, General, B1
formal, adjective, General, B1
formally, adverb, General, B1
format, noun, General, B1
format, verb, General, B1
former, adjective, General, B1
formula, noun, General, B1
forth, adverb, General, B1
fortnight, noun, General, B1
fortunate, adjective, General, B1
fortunately, adverb, General, A2
fortune, noun, General, A2
forty, number, General, A1
forward, adverb, General, A2
foundation, noun, General, B1
fountain, noun, General, B1
four, number, General, A1
fourteen, number, General, A1
fragment, noun, General, B1
frame, noun, General, A2
frank, adjective, General, A2
free, adjective, General, A1
free, adverb, General, A2
freedom, noun, General, A2
freely, adverb, General, B1
freeze, verb, General, A2
freezer, noun, General, B1
freezing, adjective, General, B1
frequency, noun, General, B1
frequent, adjective, General, B1
frequently, adverb, General, B1
fresh, adjective, General, A2
freshman, noun, General, B1
Friday, noun, General, A1
fridge, noun, General, A2
fried, adjective, General, A2
friend, noun, General, A1
friendliness, noun, General, B1
friendship, noun, General, A2
fright, noun, General, B1
frighten, verb, General, A2
frightened, adjective, General, A2
frightening, adjective, General, A2
frog, noun, General, A1
from, preposition, General, A1
front, adjective, General, A1
front, noun, General, A2
frost, noun, General, B1
frozen, adjective, General, B1
fruit, noun, food, A1
frustrated, adjective, General, B1
frustration, noun, General, B1
fry, noun, General, A2
fry, verb, General, B1
frying pan, noun, General, B1
fuel, noun, General, B1
full, adjective, General, A1
full stop, noun, General, B1
full-time, adjective, General, B1
full-time, adverb, General, B1
fully, adverb, General, A2
fun, adjective, General, A1
fun, noun, General, A1
function, noun, General, B1
function, verb, General, A2
fund, noun, General, B1
fund, verb, General, B1
funeral, noun, General, B1
funny, adjective, General, A1
fur, noun, General, B1
furnish, verb, General, B1
furniture, noun, General, A2
further, adjective, General, A2
further, adverb, General, B1
furthermore, adverb, General, B1
furthest, adverb, General, B1
fuss, noun, General, B1
future, adjective, General, B1
future, noun, General, A1
gain, noun, General, B1
gain, verb, General, B1
gall, noun, General, B1
gallery, noun, General, A2
gallon, noun, General, B1
game, noun, sports, A1
gap, noun, General, B1
garage, noun, General, A2
garbage, noun, General, A1
garden, noun, General, A1
gardening, noun, General, B1
garlic, noun, General, A2
garment, noun, General, B1
gas, noun, General, A2
gate, noun, General, A2
gather, verb, General, A2
gay, adjective, General, B1
gee, interjection, General, B1
gender, noun, General, A2
gene, noun, General, B1
general, adjective, General, B1
general, noun, General, B1
generally, adverb, General, B1
generate, verb, General, B1
generation, noun, General, A2
generous, adjective, General, B1
genetic, adjective, General, B1
genetically, adverb, General, B1
genetics, noun, General, B1
gentle, adjective, General, A2
gentleman, noun, General, B1
geographical, adjective, General, B1
geography, noun, General, B1
geology, noun, General, B1
gesture, noun, General, B1
get, verb, General, A1
ghost, noun, General, A1
giant, adjective, General, B1
gift, noun, General, A1
gifted, adjective, General, B1
giggle, noun, General, B1
ginger, noun, General, B1
giraffe, noun, General, B1
girl, noun, General, A1
girlfriend, noun, General, A1
give, verb, General, A1
given, adjective, General, A2
glad, adjective, General, A1
glance, noun, General, B1
glance, verb, General, B1
glass, noun, General, A1
glasses, noun, General, A1
glide, noun, General, B1
glimpse, noun, General, B1
glint, noun, General, B1
global, adjective, General, B1
globe, noun, General, A2
glorious, adjective, General, B1
glory, noun, General, B1
glove, noun, clothes, A2
go, noun, General, B1
go, verb, General, A1
goal, noun, General, A1
goalkeeper, noun, General, B1
goddess, noun, General, B1
gold, adjective, General, A1
gold, noun, General, A2
golden, adjective, General, A2
golf, noun, General, A2
golfer, noun, General, B1
good, adjective, General, A1
good afternoon, interjection, General, A1
good morning, interjection, General, A1
good night, interjection, General, A1
good-looking, adjective, General, A2
goodness, interjection, General, B1
goods, noun, General, B1
gorgeous, adjective, General, B1
gorilla, noun, General, B1
gossip, noun, General, B1
govern, verb, General, B1
government, noun, General, A2
governor, noun, General, B1
gown, noun, General, B1
grab, verb, General, B1
grace, noun, sports, A2
graceful, adjective, sports, B1
grade, noun, General, A1
gradually, adverb, General, A2
graduate, noun, General, B1
graduate, verb, General, A2
graduation, noun, General, B1
gram/gramme, noun, General, A2
grammar, noun, General, A1
grandchild, noun, General, A2
granddad, noun, General, A2
granddaughter, noun, General, A2
grandfather, noun, General, A1
grandma, noun, General, A1
grandmother, noun, General, A1
grandpa, noun, General, A1
grandparent, noun, General, A1
grandson, noun, General, A2
granny, noun, General, A2
grant, noun, General, B1
grant, verb, General, B1
grape, noun, General, A1
graph, noun, General, B1
graphic, adjective, General, B1
graphics, noun, General, B1
grass, noun, General, A1
grateful, adjective, General, A2
gratitude, noun, General, B1
grave, noun, General, B1
gravy, noun, General, B1
gray/grey, adjective, General, A1
gray/grey, noun, General, A1
great, adjective, food, A1
greatly, adverb, food, A2
greedy, adjective, General, A2
green, adjective, General, A1
green, noun, General, A2
greenhouse, noun, General, B1
greet, verb, General, A1
greeting, noun, General, B1
grill, noun, General, B1
grill, verb, General, B1
grilled, adjective, General, A2
grocery store, noun, General, A2
groom, noun, General, B1
ground, noun, General, A1
ground floor, noun, General, B1
group, noun, General, A1
group, verb, General, B1
grouping, noun, General, B1
grow, verb, General, A1
