simultaneously, adverb, General, B1
turbulence, noun, General, B1
turkey, noun, General, A1
turn, noun, General, A1
turn, verb, General, A1
turning, noun, General, B1
turtle, noun, General, B1
TV, noun, General, A1
twelve, number, General, A1
twenty, number, General, A1
twice, adverb, General, A2
twin, noun, sports, B1
twist, noun, General, B1
twist, verb, General, B1
two, number, General, A1
type, noun, General, A1
type, verb, General, B1
typical, adjective, General, B1
typically, adverb, General, B1
ugly, adjective, General, A1
umbrella, noun, General, A1
unable, adjective, General, B1
unafraid, adjective, General, B1
unbelievable, adjective, General, B1
uncertain, adjective, General, A2
uncertainty, noun, General, B1
uncle, noun, General, A1
unclear, adjective, General, B1
uncomfortable, adjective, General, A2
uncontrollable, adjective, General, B1
uncover, verb, General, B1
under, preposition, General, A1
underage, adjective, General, B1
undergo, verb, General, B1
underline, noun, General, A1
underline, verb, General, B1
underneath, preposition, food, B1
underpants, noun, General, B1
understand, verb, General, A2
underwater, adjective, food, A2
undo, verb, General, B1
undress, verb, clothes, B1
uneasy, adjective, General, A2
unemployed, adjective, General, B1
unemployment, noun, General, B1
unexpected, adjective, General, B1
unexpectedly, adverb, General, B1
unfair, adjective, General, A2
unfairly, adverb, General, B1
unfit, adjective, General, B1
unfold, verb, General, B1
unforgettable, adjective, General, A2
unfortunate, adjective, General, B1
unfortunately, adverb, General, A2
unfriendly, adjective, General, B1
unhappy, adjective, General, A2
unhealthy, adjective, General, A2
unheard, adjective, General, B1
uniform, adjective, General, A2
uniform, noun, General, A2
unify, verb, General, B1
unimportant, adjective, General, A2
uninterested, adjective, General, B1
uninteresting, adjective, General, B1
union, noun, General, B1
unique, adjective, General, B1
unit, noun, General, A2
unite, verb, General, B1
universe, noun, General, B1
university, noun, General, A2
unknown, adjective, General, A2
unless, conjunction, General, B1
unlike, adjective, General, A2
unlikely, adjective, General, B1
unlucky, adjective, General, B1
unnecessary, adjective, General, A2
unpack, verb, General, B1
unpleasant, adjective, General, A2
unpredictable, adjective, General, B1
unrelated, adjective, General, B1
untidy, adjective, General, B1
until, conjunction, General, B1
until, preposition, General, A1
unusual, adjective, General, A2
unusually, adverb, General, B1
unwanted, adjective, General, B1
unwell, adjective, General, B1
up, adverb, General, A2
up, preposition, General, A1
update, verb, General, B1
uplifted, adjective, General, B1
upload, verb, General, B1
upon, preposition, General, A2
upper, adjective, General, B1
upset, adjective, General, A2
upstairs, adjective, General, B1
upstairs, adverb, General, A2
upstairs, noun, General, B1
up-to-date, adjective, General, B1
upward, adjective, General, B1
urge, noun, General, B1
urgent, adjective, General, B1
us, pronoun, General, A1
usage, noun, General, B1
use, noun, General, A2
use, verb, General, A1
used, adjective, General, A2
used to, modal auxiliary, General, B1
useful, adjective, General, A2
useless, adjective, General, B1
usual, adjective, General, A2
usually, adverb, General, A1
vacancy, noun, General, B1
vacation, noun, animals, A1
vague, adjective, General, B1
vain, adjective, General, B1
valley, noun, General, A2
valuable, adjective, General, B1
value, noun, General, A2
van, noun, General, B1
variety, noun, General, B1
various, adjective, General, B1
vary, verb, General, B1
vase, noun, General, A1
vast, adjective, General, B1
vegetable, noun, food, A1
vegetarian, adjective, General, B1
vegetarian, noun, General, B1
vehicle, noun, General, B1
vein, noun, General, B1
verb, noun, General, A2
very, adverb, General, A1
vessel, noun, General, B1
vet, noun, General, B1
via, preposition, General, B1
vice, adjective, General, B1
vice president, noun, General, B1
victim, noun, General, B1
victory, noun, General, B1
video, noun, General, A1
video clip, noun, General, B1
video game, noun, sports, A2
view, noun, General, A2
view, verb, General, B1
viewpoint, noun, General, B1
village, noun, General, A2
violence, noun, General, B1
violent, adjective, General, A2
violently, adverb, General, B1
violin, noun, General, A2
virtual, adjective, General, B1
virus, noun, General, B1
visa, noun, General, B1
visible, adjective, General, B1
vision, noun, General, B1
visit, noun, travel, A1
visit, verb, travel, A1
visitor, noun, travel, A2
visual, adjective, General, B1
visually, adverb, General, B1
vivid, adjective, General, B1
vividly, adverb, General, B1
vocabulary, noun, General, A2
voice, noun, General, A2
volcano, noun, General, B1
volleyball, noun, sports, A1
volume, noun, General, B1
volunteer, verb, General, B1
vote, noun, General, A1
vote, verb, General, B1
vowel, noun, General, B1
voyage, noun, General, B1
wagon, noun, General, B1
wait, verb, General, A1
waiter, noun, General, A1
waitress, noun, General, A1
wake, noun, General, A1
wake, verb, General, B1
walk, noun, General, A1
walk, verb, General, A1
walking, noun, General, A2
wall, noun, General, A1
wallet, noun, General, A2
wander, verb, General, A2
want, verb, General, A1
