bone, noun, General, A1
bonus, noun, General, A2
book, noun, General, A1
book, verb, General, B1
bookcase, noun, General, A2
booking, noun, General, B1
bookshelf, noun, General, A2
bookshop, noun, General, A2
bookstore, noun, General, A1
boom, noun, General, B1
boot, noun, General, B1
border, noun, General, B1
bore, verb, General, B1
bored, adjective, General, A2
boredom, noun, General, B1
boring, adjective, General, A1
borrow, verb, General, A1
boss, noun, General, A2
both, adverb, General, A1
both, determiner, General, A1
both, pronoun, General, A1
bother, noun, General, B1
bother, verb, General, A2
bottle, noun, General, A1
bottom, noun, General, A1
bounce, verb, General, B1
bound, adjective, General, B1
bow, noun, General, B1
bowl, noun, General, A1
bowl, verb, General, B1
box, noun, General, A1
boxing, noun, General, B1
boy, noun, General, A1
boyfriend, noun, General, A1
bra, noun, General, A2
bracelet, noun, sports, B1
brain, noun, General, A1
brainstorm, noun, General, A2
brainstorming, noun, General, B1
brake, noun, General, A2
branch, noun, General, A2
branch, verb, General, B1
brand, noun, General, A2
brand-new, adjective, General, B1
brass, noun, General, B1
brave, adjective, General, A2
bravely, adverb, General, B1
bread, noun, food, A1
break, noun, General, A2
break, verb, General, A1
breakfast, noun, General, A1
breakthrough, noun, General, B1
breast, noun, General, B1
breath, noun, food, B1
breathe, verb, food, A1
breathless, adjective, food, B1
breed, verb, General, B1
breeding, noun, General, B1
breeze, noun, General, A2
brick, noun, General, B1
bride, noun, General, A2
bridge, noun, General, A1
brief, adjective, General, B1
briefly, adverb, General, B1
bright, adjective, General, A1
brightly, adverb, General, B1
brilliant, adjective, General, A2
bring, verb, General, A1
broad, adjective, General, B1
broadcast, noun, General, B1
broccoli, noun, General, B1
broken, adjective, General, A1
bronze, noun, General, B1
brother, noun, General, A1
brotherhood, noun, General, B1
brown, adjective, General, A1
brown, noun, General, A2
brush, noun, General, A1
brush, verb, General, A1
bubble, noun, General, B1
bucket, noun, General, A1
buddy, noun, General, B1
budget, noun, General, A2
bug, noun, General, A2
build, verb, General, A1
builder, noun, General, B1
building, noun, General, A1
bulb, noun, General, A2
bull, noun, General, B1
bullet, noun, General, B1
bulletin, noun, General, B1
bump, verb, General, B1
bunch, noun, General, B1
burden, noun, General, B1
bureau, noun, General, B1
burger, noun, General, A1
burglar, noun, General, B1
burn, noun, General, A2
burn, verb, General, B1
burning, adjective, General, B1
burst, verb, General, B1
bury, verb, General, A2
bus, noun, travel, A1
bus station, noun, travel, A2
bus stop, noun, travel, A2
bush, noun, travel, A2
business, noun, travel, A1
businessman, noun, travel, A2
businesswoman, noun, travel, A2
bust, verb, travel, B1
busy, adjective, travel, A1
but, conjunction, General, A1
but, preposition, General, B1
butcher, noun, General, B1
butter, noun, General, A1
butterfly, noun, General, A1
button, noun, General, A1
buy, verb, General, A1
buyer, noun, General, B1
by, preposition, General, A1
bye, noun, General, A1
cab, noun, General, A2
cabbage, noun, General, B1
cabin, noun, General, B1
cafe/café, noun, General, A1
cafeteria, noun, General, A2
cage, noun, General, B1
cake, noun, General, A1
calculate, verb, General, B1
calculation, noun, General, B1
calculator, noun, General, B1
calendar, noun, General, A2
calf, noun, General, B1
call, noun, General, A1
call, verb, General, A2
caller, noun, General, B1
calm, adjective, General, B1
calmness, noun, General, B1
camel, noun, General, B1
camera, noun, General, A1
camp, noun, General, A1
camp, verb, General, A2
camping, noun, General, A2
campsite, noun, General, B1
campus, noun, General, A2
can, modal auxiliary, General, A1
can, noun, General, A2
canal, noun, General, B1
cancel, verb, General, B1
cancer, noun, General, B1
candle, noun, General, B1
candy, noun, General, A1
canned, adjective, General, B1
canteen, noun, General, B1
cap, noun, General, A1
capable, adjective, General, B1
capacity, noun, General, B1
capital, noun, General, A2
capital letter, noun, General, A2
capsule, noun, General, B1
captain, noun, General, A2
capture, noun, General, B1
capture, verb, General, B1
car, noun, travel, A1
car park, noun, travel, A2
card, noun, travel, A1
care, noun, travel, A1
care, verb, travel, B1
career, noun, travel, B1
careful, adjective, travel, A1
carefully, adverb, travel, A1
careless, adjective, travel, B1
carelessly, adverb, travel, B1
carelessness, noun, travel, B1
carpet, noun, travel, B1
carriage, noun, travel, B1
carrot, noun, travel, A2
carry, verb, travel, A1
carton, noun, travel, B1
cartoon, noun, travel, A1
case, noun, General, A1
cash, noun, General, A2
